2026-03-23 02:51:15 | INFO | 1 | MacroEnergy | run_tools.jl:123 | Running case at /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/9Zone_US/power_h2_ng_lf_ethylene_retrofit
2026-03-23 02:51:15 | INFO | 1 | MacroEnergy | user_additions.jl:19 |  ++ Loading user additions from MacroEnergyExamples/9Zone_US/power_h2_ng_lf_ethylene_retrofit/tmp/UserAdditions.jl
2026-03-23 02:51:15 | INFO | 1 | MacroEnergy | user_additions.jl:23 |  ++ Successfully loaded UserAdditions module.
2026-03-23 02:51:15 | INFO | 1 | MacroEnergy | load_stages_data.jl:36 | Loading case from /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/9Zone_US/power_h2_ng_lf_ethylene_retrofit/system_data.json
2026-03-23 02:51:15 | INFO | 1 | MacroEnergy | load_system_data.jl:17 | Loading system data
2026-03-23 02:51:16 | INFO | 1 | MacroEnergy | load_system_data.jl:25 | Done loading system data. It took 0.51 seconds
2026-03-23 02:51:16 | INFO | 1 | MacroEnergy | load_stages_data.jl:19 | Done loading case data. It took 0.51 seconds
2026-03-23 02:51:16 | INFO | 1 | MacroEnergy | case.jl:15 | *** Generating case ***
2026-03-23 02:51:16 | INFO | 1 | MacroEnergy | case_settings.jl:126 | Configuring case
2026-03-23 02:51:16 | INFO | 1 | MacroEnergy | case_settings.jl:150 |  -- Setting solution algorithm
2026-03-23 02:51:16 | INFO | 1 | MacroEnergy | case_settings.jl:161 |  -- Solution algorithm set to MacroEnergy.Monolithic()
2026-03-23 02:51:16 | INFO | 1 | MacroEnergy | case.jl:30 | Generating systems
2026-03-23 02:51:16 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
2026-03-23 02:51:50 | INFO | 1 | MacroEnergy | generate_system.jl:38 | Done generating system. It took 33.99 seconds
2026-03-23 02:51:51 | INFO | 1 | MacroEnergy | case.jl:54 |  -- Discounting fixed costs for period 1
2026-03-23 02:51:52 | INFO | 1 | MacroEnergy | case.jl:57 |  -- Computing retirement case for period 1
2026-03-23 02:51:52 | INFO | 1 | MacroEnergy | case.jl:45 | *** Done generating case. It took 36.32 seconds ***
2026-03-23 02:51:52 | INFO | 1 | MacroEnergy | solver.jl:7 | *** Running simulation with monolithic solver ***
2026-03-23 02:51:53 | INFO | 1 | MacroEnergy | generate_model.jl:17 | Generating model
2026-03-23 02:51:53 | INFO | 1 | MacroEnergy | generate_model.jl:30 |  -- Period 1
2026-03-23 02:51:53 | INFO | 1 | MacroEnergy | generate_model.jl:37 |  -- Adding linking variables
2026-03-23 02:51:54 | INFO | 1 | MacroEnergy | generate_model.jl:40 |  -- Defining available capacity
2026-03-23 02:51:55 | INFO | 1 | MacroEnergy | generate_model.jl:43 |  -- Generating planning model
2026-03-23 02:51:57 | INFO | 1 | MacroEnergy | generate_model.jl:47 |  -- Adding retrofit constraints
2026-03-23 02:51:57 | INFO | 1 | MacroEnergy | generate_model.jl:51 |  -- Including age-based retirements
2026-03-23 02:51:58 | INFO | 1 | MacroEnergy | generate_model.jl:59 |  -- Generating operational model
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand_per_segment.jl:35 | MaxNonServedDemandPerSegmentConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
2026-03-23 02:52:08 | WARN | 1 | MacroEnergy | max_non_served_demand.jl:28 | MaxNonServedDemandConstraint required for a node that does not have a non-served demand variable so Macro will not create this constraint
