commodity,zone,resource_id,component_id,resource_type,component_type,variable,time,value
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,1,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,2,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,3,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,4,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,5,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,6,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,7,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,8,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,9,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,10,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,11,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,12,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,13,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,14,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,15,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,16,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,17,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,18,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,19,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,20,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,21,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,22,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,23,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,24,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,25,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,26,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,27,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,28,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,29,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,30,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,31,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,32,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,33,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,34,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,35,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,36,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,37,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,38,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,39,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,40,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,41,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,42,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,43,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,44,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,45,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,46,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,47,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,48,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,49,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,50,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,51,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,52,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,53,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,54,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,55,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,56,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,57,0.0
CO2Captured,CA,co2_CA_to_NW,co2_CA_to_NW_storage,GasStorage{CO2Captured},Storage{CO2Captured},storage_level,58,0.0
