natgas_SE,natgas_MIDAT,natgas_NE,elec_SE,elec_MIDAT,elec_NE,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,1.6360098752362946,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,1.6360098752362946,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,1.6360098752362946,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,1.6360098752362946,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,1.6360098752362946,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,1.6360098752362946,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,1.6360098752362946,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,1.6360098752362946,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,1.6360098752362946,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,1.6360098752362946,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,1.6360098752362946,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,1.6360098752362946,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,-0.0,-0.0,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,1.6360098752362946,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
14.058029999999999,13.68269,16.82186,2.1814744801512287,2.1814744801512287,-0.0,0.0,0.0,0.0
